"","sequencing_sample_id","sample_site_code","rna_plate_number","rna_plate_length","rna_plate_width","rna_sample_plate_position","rna_sample_plate_position_row","rna_sample_plate_position_column","sample_id","timestamp_sample_collected","sample_site_name","sample_city_name","rna_sample_plate_position_ind","sars_cov2_gc_l_mean","raw_ansis_sars_ct_repc_1","raw_ansis_sars_ct_repc_2","raw_ansis_sars_ct_repc_3","analysis_lab_code","analysis_lab_comments","sequencing_lab_code","sequencing_platform","sequencing_run_id","sequencing_run_date","sequencing_library_method","sequencing_library_protocol_version","sequencing_primer_set_version","sequencing_rna_plate_name","sequencing_rna_sample_plate_position","sequencing_lab_comments","data_model_version","grid_reference_east","grid_reference_north","grab_compo_ind","longitude","latitude","delta.mu","delta.se","delta.n","omicron.mu","omicron.se","omicron.n"
"124","2_seqloc_B8_2134513_B8_2108828_26","UKENSW_WXW_TP000092",2134513,12,8,"B8","B",8,"2108828-26","10122021:0600","TROWBRIDGE STW",NA,"SAMPLE",13648,35.002,35.987,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,384769,158051,"Composite",-2.21995241183399,51.3213565134839,0.985728617515147,0.0135081467383594,12,9.30890103379929e-05,4.31923421155547e-05,10
"125","2_seqloc_B9_2134513_B9_2110508_09","UKENSW_WXW_TP000023",2134513,12,8,"B9","B",9,"2110508-09","10122021:0600","CHIPPENHAM STW",NA,"SAMPLE",7006.4,35.902,37.288,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,391799,171371,"Composite",-2.11938319557728,51.4412712129437,0.999952961098829,0.000419815281276279,12,5.11490044497829e-05,7.13775874375446e-05,10
"126","2_seqloc_C1_2134513_C1_2108822_44","UKENSW_WXW_TP000074",2134513,12,8,"C1","C",1,"2108822-44","10122021:0600","SALISBURY STW",NA,"SAMPLE",37355.2,33.803,33.934,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,416039,129131,"Composite",-1.77250641169536,51.0612957600867,0.77199987917963,0.0506468252810431,12,0.26960243314644,0.0361065134620518,10
"127","2_seqloc_C10_2134513_C10_2108832_44","UKENSW_WXW_TP000111",2134513,12,8,"C10","C",10,"2108832-44","10122021:1000","YEOVIL STW",NA,"SAMPLE",2798.4,38.471,37.418,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,357229,116211,"Composite",-2.61015826631817,50.9437417314033,1,0,11,0,0,10
"128","2_seqloc_C11_2134513_C11_2108826_44","UKENSW_WXW_TP000085",2134513,12,8,"C11","C",11,"2108826-44","10122021:0800","BLANDFORD FORUM   STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,391729,102961,"Composite",-2.11879782532399,50.8261267484328,1,0,5,NA,NA,0
"129","2_seqloc_C2_2134513_C2_2110514_02","UKENSW_WXW_TP000096",2134513,12,8,"C2","C",2,"2110514-02","10122021:1000","WELLINGTON STW",NA,"SAMPLE",965.6,-4,38.427,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,312969,121821,"Composite",-3.24136429026321,50.989185585624,0.552746497488765,0.0794844784064101,12,0.369842730717974,0.114268095090399,10
"130","2_seqloc_C3_2134513_C3_2108823_44","UKENSW_WXW_TP000075",2134513,12,8,"C3","C",3,"2108823-44","10122021:0800","SHAFTESBURY STW",NA,"SAMPLE",26386.4,33.929,35.089,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,386179,121431,"Composite",-2.19830041907443,50.9921079690504,0.999921759973825,0.000239873818024065,12,0.000131024763883387,0.000108830845771144,10
"131","2_seqloc_C4_2134513_C4_2108817_44","UKENSW_WXW_TP000018",2134513,12,8,"C4","C",4,"2108817-44","10122021:1000","CHARD STW",NA,"SAMPLE",3169.809723,38.01373657,37.37934795,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,333909,111981,"Composite",-2.94127871220327,50.9035028272276,0.999926705024371,0.000135420679658911,11,0.000206344517579587,0.000182982616651418,10
"132","2_seqloc_C5_2134513_C5_2109705_07","UKENNW_UU_TP000070",2134513,12,8,"C5","C",5,"2109705-07","10122021:0001","KENDAL STW",NA,"SAMPLE",633.6,39.075,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,351699,490791,"Composite",-2.74388404263729,54.3104175956949,1,0,3,NA,NA,0
"133","2_seqloc_C6_2134513_C6_2108814_34","UKENSW_WXW_TP000004",2134513,12,8,"C6","C",6,"2108814-34","10122021:0600","BRISTOL STW",NA,"SAMPLE",44297.6,34.069,33.249,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,353294,179291,"Composite",-2.67440595155158,51.5106048399789,0.919673920915897,0.0255976120332882,12,0.103998111892653,0.038663371100191,10
"134","2_seqloc_C7_2134513_C7_2110515_03","UKENSW_WXW_TP000077",2134513,12,8,"C7","C",7,"2110515-03","10122021:0600","SHEPTON MALLET STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,360049,143971,"Composite",-2.57309744008486,51.1935537193283,1,0,7,0,0,6
"135","2_seqloc_C8_2134513_C8_2110510_10","UKENSW_WXW_TP000044",2134513,12,8,"C8","C",8,"2110510-10","10122021:0820","CLEVEDON / NAILSEA / YATTON   STW",NA,"SAMPLE",9216,35.535,36.737,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,338929,168181,"Composite",-2.87945378203128,51.4093478010673,1,0,11,0.000192226785530017,0.000311634410958386,8
"136","2_seqloc_C9_2134513_C9_2110513_04","UKENSW_WXW_TP000057",2134513,12,8,"C9","C",9,"2110513-04","10122021:0800","MINEHEAD STW",NA,"SAMPLE",4904,37.394,36.675,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,299129,145071,"Composite",-3.44499124940389,51.1959238201908,0.999952095808383,2.19358107655426e-05,12,0,0,10
"137","2_seqloc_D1_2134513_D1_2106731_44","UKENNW_UU_TP000133",2134513,12,8,"D1","D",1,"2106731-44","10122021:0800","WIGAN (HOSCAR) STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,348172,411615,"Composite",-2.78461015741754,53.5985273300932,NA,NA,0,0,NA,1
"138","2_seqloc_D10_2134513_D10_2110577_04","UKENAN_AW_TP000219",2134513,12,8,"D10","D",10,"2110577-04","10122021:0815","REEPHAM   STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,610490,322708,"Grab",1.11815313227601,52.7609462195686,0.98180439727066,0.0118635689569946,7,0,0,2
"139","2_seqloc_D11_2134513_D11_2110548_03","UKENAN_AW_TP000154",2134513,12,8,"D11","D",11,"2110548-03","10122021:1049","KINGS LYNN STW",NA,"SAMPLE",1024.8,-4,38.335,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,560275,322372,"Grab",0.37457675671988,52.7751487019795,-1,-1,-1,NA,-1,-1
"140","2_seqloc_D2_2134513_D2_2109710_14","UKENNW_UU_TP000139",2134513,12,8,"D2","D",2,"2109710-14","10122021:0800","WORKINGTON STW",NA,"SAMPLE",9171.2,36.651,35.587,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,300479,531841,"Grab",-3.54474319609232,54.6717748325908,1,0,10,0,0,9
"141","2_seqloc_D3_2134513_D3_2109701_23","UKENNW_UU_TP000012",2134513,12,8,"D3","D",3,"2109701-23","10122021:0810","BARROW-IN-FURNESS STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,321942,468543,"Composite",-3.19536888158,54.1068235248882,1,NA,1,NA,NA,0
"142","2_seqloc_D4_2134513_D4_2109706_14","UKENNW_UU_TP000100",2134513,12,8,"D4","D",4,"2109706-14","10122021:0900","PENRITH STW",NA,"SAMPLE",1032.8,-4,38.324,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,354763,529550,"Composite",-2.70274403550832,54.6589969978528,1,0,2,NA,NA,0
"143","2_seqloc_D5_2134513_D5_2109757_07","UKENNW_UU_TP000068",2134513,12,8,"D5","D",5,"2109757-07","10122021:0905","HYNDBURN STW",NA,"SAMPLE",6042.055054,36.12767605,37.51855175,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,375619,433371,"Composite",-2.37161188360964,53.7960698765185,0.911328651486132,0.0673516980615347,12,0,0,10
"144","2_seqloc_D6_2134513_D6_2108487_11","UKENNW_UU_TP000076",2134513,12,8,"D6","D",6,"2108487-11","10122021:0800","LANCASTER (STODDAY) STW",NA,"SAMPLE",3162.359848,38.62425602,37.0822114,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,345699,458711,"Composite",-2.83029892251992,54.0215282534976,0.183023872679045,0.141295208235269,11,0.0506375860463584,0.0672257694745191,10
"145","2_seqloc_D7_2134513_D7_2109707_14","UKENNW_UU_TP000102",2134513,12,8,"D7","D",7,"2109707-14","10122021:0804","PRESTON (CLIFTON MARSH) STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,345709,427931,"Grab",-2.82468233196758,53.7449128934995,1,0,2,NA,NA,0
"146","2_seqloc_D8_2134513_D8_2110574_04","UKENAN_AW_TP000280",2134513,12,8,"D8","D",8,"2110574-04","10122021:1100","WELLS-NEXT-THE-SEA STW",NA,"SAMPLE",3693.949146,37.56110431,37.3064765,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,591181,344005,"Grab",0.844869719371624,52.9593301649437,0.936353272293277,0.0653538499387595,12,0.527077393963097,0.087262453489544,10
"147","2_seqloc_D9_2134513_D9_2108780_16","UKENAN_AW_TP000170",2134513,12,8,"D9","D",9,"2108780-16","10122021:1023","LOWESTOFT STW",NA,"SAMPLE",14655.2,35.643,35.032,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,653429,297861,"Composite",1.73412618265373,52.5196430473078,0.973607558965615,0.0208341941337665,12,0.189656297387143,0.0328908206228925,10
"148","2_seqloc_E1_2134513_E1_2109755_24","UKENNW_UU_TP000113",2134513,12,8,"E1","E",1,"2109755-24","10122021:0800","SKELMERSDALE STW",NA,"SAMPLE",857.6,-4,38.61,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,347580,410890,"Composite",-2.79343238990015,53.5919524658777,-1,-1,-1,NA,-1,-1
"149","2_seqloc_E10_2134513_E10_2109714_01","UKENNW_UU_TP000047",2134513,12,8,"E10","E",10,"2109714-01","10122021:0830","ELLESMERE PORT STW",NA,"SAMPLE",9367.950287,35.30471185,37.28402509,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,342338,374328,"Composite",-2.86591277171915,53.2628007548038,0.99912259322447,0.00510204081632652,12,0.000175440682343142,0.000118516347452277,10
"150","2_seqloc_E11_2134513_E11_2109758_24","UKENNW_UU_TP000104",2134513,12,8,"E11","E",11,"2109758-24","10122021:0800","ROSSENDALE STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,379569,420611,"Grab",-2.31079956148601,53.6815550713272,0.99998522305794,6.19195046439258e-05,10,7.40269675833188e-05,8.02310654685494e-05,8
"151","2_seqloc_E2_2134513_E2_2109709_23","UKENNW_UU_TP000026",2134513,12,8,"E2","E",2,"2109709-23","10122021:0800","BURY STW",NA,"SAMPLE",158.4,41.208,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,380039,407811,"Composite",-2.30285846349436,53.5665257676311,0.999958991183104,0.000103648424543973,9,0.00019843506848586,0.000171264765801571,10
"152","2_seqloc_E3_2134513_E3_2108482_29","UKENNW_UU_TP000038",2134513,12,8,"E3","E",3,"2108482-29","10122021:0804","CREWE STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,366639,357111,"Composite",-2.49981583937166,53.1101349858916,0.999911522694429,0.000185805977085361,12,0.00250823820261442,0.111078355034688,9
"153","2_seqloc_E4_2134513_E4_2110575_04","UKENAN_AW_TP000071",2134513,12,8,"E4","E",4,"2110575-04","10122021:1001","CROMER   STW",NA,"SAMPLE",2033.6,38.476,38.23,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,620648,341957,"Grab",1.28145089310945,52.9296512654712,0.999959747212494,0.000240500240500273,11,0.000204333828011868,0.000168539746417153,8
"154","2_seqloc_E5_2134513_E5_2109708_11","UKENNW_UU_TP000097",2134513,12,8,"E5","E",5,"2109708-11","10122021:0900","NORTHWICH STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,363739,374161,"Composite",-2.54507615240124,53.263198630286,-1,-1,-1,NA,-1,-1
"155","2_seqloc_E6_2134513_E6_2109711_09","UKENNW_UU_TP000116",2134513,12,8,"E6","E",6,"2109711-09","10122021:0830","STOCKPORT STW",NA,"SAMPLE",536.8,-4,39.33,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,386519,389821,"Composite",-2.20423999890245,53.4050329057917,0.646081617912604,0.0931875873509151,11,0,0,6
"156","2_seqloc_E7_2134513_E7_2109704_11","UKENNW_UU_TP000124",2134513,12,8,"E7","E",7,"2109704-11","10122021:0800","NORTH WARRINGTON   STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,358039,386891,"Composite",-2.63221346695197,53.3771961295999,1,NA,1,0,0,2
"157","2_seqloc_E8_2134513_E8_2109702_25","UKENNW_UU_TP000110",2134513,12,8,"E8","E",8,"2109702-25","10122021:0745","LIVERPOOL (SANDON [NORTH LIVERPOOL DOCKS] ) STW",NA,"SAMPLE",1139.2,-4,38.173,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,333486,392845,"Composite",-3.00249629067494,53.4281802389208,0.366728452270621,0.145121337505301,9,0,0,4
"158","2_seqloc_E9_2134513_E9_2109713_28","UKENNW_UU_TP000129",2134513,12,8,"E9","E",9,"2109713-28","10122021:0800","WHALEY BRIDGE STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,401249,383221,"Grab",-1.98270181129688,53.345882070986,0.999188831490415,0.00200780484946887,8,0,0,8
"159","2_seqloc_F1_2134513_F1_2109696_27","UKENNW_UU_TP000019",2134513,12,8,"F1","F",1,"2109696-27","10122021:1000","BOLTON STW",NA,"SAMPLE",4104.8,38.3,36.654,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,376549,404691,"Composite",-2.35531701871757,53.5383376062449,0.792968845299958,0.0553419019544842,12,0.164737958958819,0.160417251847575,10
"160","2_seqloc_F10_2134513_F10_2109787_19","UKENNE_NU_TP000003",2134513,12,8,"F10","F",10,"2109787-19","10122021:0630","NEWTON   STW",NA,"SAMPLE",10146.4,35.7,36.07,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,428369,523271,"Composite",-1.56235998823917,54.6038191036388,1,0,7,0.000203559072214935,0.000170270730461434,7
"161","2_seqloc_F11_2134513_F11_2109783_27","UKENNE_NU_TP000055",2134513,12,8,"F11","F",11,"2109783-27","10122021:0630","WASHINGTON STW",NA,"SAMPLE",7720,37.124,35.758,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,432799,555701,"Composite",-1.49013961493628,54.8949735927046,0.995646575510454,0.0105201091806145,12,0.00503078670575164,0.00176151174772512,10
"162","2_seqloc_F2_2134513_F2_2109759_24","UKENNW_UU_TP000032",2134513,12,8,"F2","F",2,"2109759-24","10122021:0915","CHORLEY STW",NA,"SAMPLE",7621.6,37.182,35.762,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,356587,417686,"Composite",-2.65831597065681,53.6538575522079,0.832192497616261,0.0496307746804791,12,0.151223782889866,0.039562410552345,10
"163","2_seqloc_F3_2134513_F3_2106727_31","UKENNW_UU_TP000037",2134513,12,8,"F3","F",3,"2106727-31","10122021:0700","CONGLETON STW",NA,"SAMPLE",12935.2,36.448,34.917,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,385381,363483,"Composite",-2.22013551518894,53.1682589894405,0.999961250322914,0.000182234667116957,12,0.000251137118860723,0.000156202168849774,10
"164","2_seqloc_F4_2134513_F4_2108489_47","UKENNW_UU_TP000084",2134513,12,8,"F4","F",4,"2108489-47","10122021:0855","MACCLESFIELD STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,389609,378201,"Composite",-2.15737605302682,53.3006559886346,1,0,5,0,0,3
"165","2_seqloc_F5_2134513_F5_2108480_38","UKENNW_UU_TP000027",2134513,12,8,"F5","F",5,"2108480-38","10122021:1100","CARLISLE STW",NA,"SAMPLE",4145.766678,36.81923034,37.85295258,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,338811,556534,"Grab",-2.95568639671068,54.8997676767707,0.989758802132994,0.0134308921221661,11,0.263117754926214,0.0946303143331287,10
"166","2_seqloc_F6_2134513_F6_2109751_02","UKENNW_UU_TP000103",2134513,12,8,"F6","F",6,"2109751-02","10122021:0810","ROCHDALE STW",NA,"SAMPLE",1054.4,-4,38.292,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,388287,412525,"Composite",-2.1785033062731,53.6091470078758,1,0,3,NA,NA,0
"167","2_seqloc_F7_2134513_F7_2108485_46","UKENNW_UU_TP000067",2134513,12,8,"F7","F",7,"2108485-46","10122021:0800","HYDE STW",NA,"SAMPLE",1052,-4,38.295,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,393789,394841,"Composite",-2.09498911048485,53.4502923820687,0.989810530953955,0.0147058823529412,10,5.52012129200552e-05,2.40615976900866e-05,8
"168","2_seqloc_F8_2134513_F8_2108478_37","UKENNW_UU_TP000024",2134513,12,8,"F8","F",8,"2108478-37","10122021:0800","BURNLEY STW",NA,"SAMPLE",1604,38.484,38.984,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,382849,435121,"Composite",-2.26195206287799,53.8120887230245,0.462767154105737,0.142857142857143,7,0.000578999847006874,0.000191131498470948,6
"169","2_seqloc_F9_2134513_F9_2109699_20","UKENNW_UU_TP000078",2134513,12,8,"F9","F",9,"2109699-20","10122021:0915","LEIGH STW",NA,"SAMPLE",20084,35.028,34.642,-2,"EA","2134513 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,365809,399001,"Grab",-2.5167413542418,53.4866041612553,0.999888933224186,0.000185084975041346,12,0.000137715823245852,8.6254408923538e-05,10
"170","2_seqloc_G1_2134714_C1_2108750_45","UKENAN_AW_TP000161",2134714,12,8,"C1","C",1,"2108750-45","12122021:0950","LINCOLN STW",NA,"SAMPLE",960,38.095,-4,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,499884,370410,"Unspecified",-0.505437286643733,53.2213610328509,1,0,5,0,0,6
"171","2_seqloc_G10_2134714_C10_2110609_04","UKENAN_AW_TP000078",2134714,12,8,"C10","C",10,"2110609-04","12122021:0833","DISS STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,612081,279287,"Grab",1.1139429027495,52.3705592460286,1,0,5,NA,NA,0
"172","2_seqloc_G11_2134714_C11_2110600_03","UKENAN_AW_TP000047",2134714,12,8,"C11","C",11,"2110600-03","12122021:0816","BURY ST. EDMUNDS   STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,584305,267802,"Grab",0.700167092958755,52.2774623114148,-1,-1,-1,NA,-1,-1
"173","2_seqloc_G2_2134714_C2_2110529_06","UKENAN_AW_TP000004",2134714,12,8,"C2","C",2,"2110529-06","12122021:0915","ANWICK STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,511489,350004,"Grab",-0.338785055045201,53.0357041557101,1,0,4,NA,NA,0
"174","2_seqloc_G3_2134714_C3_2110570_03","UKENAN_AW_TP000296",2134714,12,8,"C3","C",3,"2110570-03","12122021:1028","WITHAM STW",NA,"SAMPLE",11132,35.206,35.87,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,582625,214013,"Grab",0.64686947603071,51.7949470335607,0.929277146085242,0.020978027350681,12,0.0297773409846725,0.0130904077460285,10
"175","2_seqloc_G4_2134714_C4_2108727_42","UKENAN_AW_TP000200",2134714,12,8,"C4","C",4,"2108727-42","12122021:1043","NORWICH STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,627841,307418,"Composite",1.36426596140418,52.6167009709608,0.838297271682362,0.0456583529296317,12,0.136607483959258,0.0228968398645622,10
"176","2_seqloc_G5_2134714_C5_2110571_03","UKENAN_AW_TP000015",2134714,12,8,"C5","C",5,"2110571-03","12122021:0915","BECCLES STW",NA,"SAMPLE",-4,-4,-4,-2,"EA","2134714 Surv,","LIVERPOOL_UNI","NovaSeq Sp","SPaterson_WWater_Plate_2_2134513_2134714","17.12.21","NimaGen",1.01,3.02,NA,NA,NA,3,644890,290424,"Grab",1.60307305929328,52.4568178531454,1,0,5,0,0,5
